บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
97,ถ่าน AA แพ็ค 2 ก้อน อัลคาไลน์,แพ็ค, 50.00 
98,ถ่าน AAA แพ็ค 2 ก้อน อัลคาไลน์,แพ็ค, 50.00 
99,ถ่าน AA แพ็ค 4 ก้อน อัลคาไลน์,แพ็ค, 120.00 
100,ถ่าน AAA แพ็ค 4 ก้อน อัลคาไลน์,แพ็ค, 120.00 
ถ้วยรางวัล,,,
101,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 3,อัน, 260.00 
102,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 4,อัน, 320.00 
103,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 5,อัน, 400.00 
104,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 6,อัน, 480.00 
105,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 7,อัน, 560.00 
106,ถ้วยรางวัล เสาเดียว แบบพลาสติก เบอร์ 8,อัน, 840.00 
ถุงมือ,,,
107,ถุงมือจราจร สีขาว (1/12),แพ็ค, 420.00 
เข็มหมุด,,,
108,เข็มหมุดหัวกลม,กล่อง, 80.00 
109,หมุดปักบอร์ด,กล่อง, 45.00 
แท่นตัดกระดาษ,,,
110,แท่นตัดกระดาษ 10*12 นิ้ว,อัน," 1,050.00 "
111,แท่นตัดกระดาษ 12*15 นิ้ว,อัน," 1,200.00 "
112,แท่นตัดสก๊อตเทป เล็ก,อัน, 75.00 
113,แท่นตัดสก๊อตเทป ใหญ่,อัน, 120.00 
เทปใส / แล็คซีน,,,
114,เทปใส 3/4 นิ้ว  36 หลา แกน 1 นิ้ว,ม้วน, 35.00 
115,เทปใส 1/2 นิ้ว  36 หลา แกน 1 นิ้ว,ม้วน, 25.00 
116,เทปใส 1 นิ้ว     36 หลา แกน 1 นิ้ว,ม้วน, 45.00 
117,เทปใส 3/4 นิ้ว  36 หลา แกน 3 นิ้ว,ม้วน, 35.00 
118,เทปใส 1/2 นิ้ว  36 หลา แกน 3 นิ้ว,ม้วน, 35.00 
119,เทปใส 1 นิ้ว     36 หลา แกน 3 นิ้ว,ม้วน, 45.00 
120,เทปใส 2 นิ้ว,ม้วน, 50.00 
121,แล็คซีน ขนาด 1 นิ้ว,ม้วน, 30.00 
122,แล็คซีน ขนาด 1.5 นิ้ว,ม้วน, 40.00 
123,แล็คซีน ขนาด 2 นิ้ว,ม้วน, 50.00 
124,เทปเยื้อกาว 2 หน้า แบบบาง ขนาด 12 mm.,ม้วน, 45.00 
125,เทปเยื้อกาว 2 หน้า แบบบาง ขนาด 18 mm.,ม้วน, 30.00 
126,เทปเยื้อกาว 2 หน้า แบบบาง ขนาด 24 mm.,ม้วน, 60.00 
127,เทปโฟม 3M 21 mm. ยาว 1 m.,ม้วน, 60.00 
128,เทปโฟม 3M 21 mm. ยาว 3 m.,ม้วน, 170.00 
129,เทปโฟม 3M 21 mm. ยาว 5 m.,ม้วน, 250.00 
130,ที่ถอนลวดเย็บกระดาษ แบบคีม,ตัว, 100.00 
แท่นประทับตรา,,,
131,แท่นประทับตรา เบอร์ 1 เหล็ก (แดง/น้ำเงิน/ดำ),อัน, 80.00 
132,แท่นประทับตรา เบอร์ 2 เหล็ก (แดง/น้ำเงิน/ดำ),อัน, 45.00 
133,แท่นประทับตรา เบอร์ 4 เหล็ก (แดง/น้ำเงิน/ดำ),อัน, 35.00 
ธง / เสาธง /ขาตั้งเสา,,,
134,ธงชาติไทย ขนาด 20 * 30 ซม.,ผืน, 20.00 
135,ธงชาติไทย ขนาด 40 * 60 ซม.,ผืน, 45.00 
136,ธงชาติไทย ขนาด 60 * 90 ซม.,ผืน, 60.00 
137,ธงชาติไทย ขนาด 80 * 120 ซม.,ผืน, 100.00 
138,ธงชาติไทย ขนาด 100 * 150 ซม.,ผืน, 120.00 
139,ธงตราสัญญลักษณ์ ร.10 / ธง วปร. ร.10 ขนาด 60 * 90 ซม.,ผืน, 60.00 
140,ธงตราสัญญลักษณ์ ร.10 / ธง วปร. ร.10 ขนาด 80 * 120 ซม.,ผืน, 170.00 
141,ธงอาเซียน ขนาด 60 * 90 ซม. ( 1 ชุด 11 ผืน),ชุด, 650.00 
142,เสาธง ขนาด 1.5 เมตร,อัน, 60.00 
143,เสาธง ขนาด 2 เมตร,อัน, 70.00 
144,เสาธง ขนาด 2.5 เมตร,อัน, 80.00 
145,ขาตั้งเสาธง ดอกรัก ขนาดเล็ก,อัน, 380.00 
146,ใบมีดคัตเตอร์ สแตนเลส เล็ก 45 องศา 6 ใบ,กล่อง, 45.00 
147,ใบมีดคัตเตอร์ สแตนเลส ใหญ่ 45 องศา 6 ใบ,กล่อง, 45.00 
ปากกา,,,
148,ปากกาเคมี 2 หัว,ด้าม, 15.00 
149,ปากกาไวท์บอร์ด,ด้าม, 25.00 
150,ปากกาเน้นข้อความ,ด้าม, 35.00 
151,ปากกาลูกลื่น 0.5,ด้าม, 5.00 
152,ปากกาลูกลื่น 0.7,ด้าม, 5.00 
153,ปากกาลูกลื่น 1.0,ด้าม, 7.00 
154,ปากกาพร้อมแท่นตั้งโต๊ะ 0.7 มม.,ชุด, 35.00 
